('repetición', 0.7715167498104596)
('equipo', 0.7071067811865476)
('tiempo extra', 0.5773502691896258)
('espectadores', 0.5163977794943222)
('penal', 0.5163977794943222)
('césped', 0.47140452079103173)
('lesión', 0.47140452079103173)
('botines', 0.4364357804719848)
('estadio', 0.4364357804719848)
('silla de estadio', 0.4216370213557839)
('remate', 0.40824829046386296)
('saque de esquina', 0.40824829046386296)
('centrocampista', 0.3872983346207417)
('defensa', 0.3849001794597505)
('vestuario', 0.3849001794597505)
('camiseta', 0.3651483716701107)
('portería', 0.3651483716701107)
('fuera de juego', 0.3535533905932738)
('delantero', 0.3481553119113957)
('copa', 0.2886751345948129)
('entrenador', 0.2886751345948129)
('liga', 0.2886751345948129)
('aficionados', 0.280056016805602)
('lanzamiento de falta', 0.2672612419124244)
('himno nacional', 0.22645540682891918)
('saque de banda', 0.22645540682891918)
('arquero', 0.19245008972987526)
('derrota', 0.19245008972987526)
('driblar', 0.19245008972987526)
('técnico', 0.19245008972987526)
('árbitro', 0.19245008972987526)
('banderín', 0.18257418583505536)
('rematar', 0.17407765595569785)
('tarjeta', 0.17407765595569785)
('cabezazo', 0.16666666666666669)
('hinchada', 0.16666666666666669)
('barrera', 0.14907119849998599)
('tiro al gol', 0.140028008402801)
('balón de fútbol', 0.12598815766974242)
('arco', 0.0)
('balón', 0.0)
('cancha', 0.0)
('falta', 0.0)
('fútbol sala', 0.0)
('ganador', 0.0)
('gol', 0.0)
('gradas', 0.0)
('marcador', 0.0)
